Open,High,Low,Close,Adj Close,Volume,Date,CI1,CI2,CI3,CI4,CI5,CI6,CI7
7.622499943,7.660714149,7.585000038,7.643214226,6.505280972,493729600,1/4/2010,,,,,,,
7.664286137,7.699643135,7.616071224,7.656428814,6.51652813,601904800,1/5/2010,,,,,,,
7.656428814,7.686786175,7.526785851,7.534643173,6.412872314,552160000,1/6/2010,,,,,,,
7.5625,7.571428776,7.466071129,7.520713806,6.40101862,477131200,1/7/2010,,,,,,,
7.510714054,7.571428776,7.466429234,7.570713997,6.443573952,447610800,1/8/2010,,,,,,,
7.599999905,7.607142925,7.444643021,7.503929138,6.386731625,462229600,1/11/2010,,,,,,,
7.471070766,7.491786003,7.372142792,7.418570995,6.314081669,594459600,1/12/2010,0,3,2,2,0,7,0
7.423929214,7.533214092,7.289286137,7.523213863,6.403145313,605892000,1/13/2010,9,10,10,4,14,7,12
7.503929138,7.516428947,7.465000153,7.479642868,6.366061687,432894000,1/14/2010,5,5,3,4,3,6,0
7.533214092,7.557143211,7.352499962,7.354642868,6.259671211,594067600,1/15/2010,0,4,2,3,0,5,0
7.440357208,7.685357094,7.401429176,7.679999828,6.536588669,730007600,1/19/2010,8,9,8,4,12,9,4
7.675356865,7.698214054,7.482142925,7.561786175,6.435975552,612152800,1/20/2010,6,6,3,6,5,4,0
7.574285984,7.61821413,7.40035677,7.431070805,6.324720383,608154400,1/21/2010,0,4,2,3,0,5,0
7.385000229,7.410714149,7.041429043,7.0625,6.011023521,881767600,1/22/2010,2,2,2,3,4,3,0
7.232500076,7.310713768,7.149642944,7.252500057,6.172736168,1065699600,1/25/2010,5,5,9,6,6,5,6
7.35535717,7.632500172,7.235000134,7.355000019,6.25997448,1867110000,1/26/2010,0,12,3,9,9,0,3
7.387499809,7.520713806,7.126070976,7.424285889,6.318945408,1722568400,1/27/2010,15,4,12,14,12,4,15
7.318929195,7.339285851,7.096428871,7.117499828,6.057835102,1173502400,1/28/2010,3,0,9,9,3,12,0
7.181428909,7.221428871,6.794642925,6.859285831,5.838063717,1245952400,1/29/2010,6,5,6,6,9,5,5
6.870357037,7,6.83214283,6.954642773,5.919225693,749876400,2/1/2010,0,3,6,3,2,2,2
6.996786118,7.011428833,6.906428814,6.994999886,5.953571796,698342400,2/2/2010,0,10,0,3,6,3,6
6.970356941,7.150000095,6.943571091,7.115356922,6.056011677,615328000,2/3/2010,0,0,0,12,0,6,6
7.026071072,7.084642887,6.841785908,6.858929157,5.837760925,757652000,2/4/2010,0,0,14,0,6,8,0
6.879642963,7,6.816071033,6.980713844,5.941413403,850306800,2/5/2010,6,6,6,6,4,8,8
6.988928795,7.067142963,6.928571224,6.932857037,5.900681019,478270800,2/8/2010,0,8,4,0,4,6,4
7.014999866,7.053571224,6.955357075,7.00678587,5.963603497,632886800,2/9/2010,8,8,0,6,6,6,6
6.996070862,7.021429062,6.937857151,6.968571186,5.931079388,370361600,2/10/2010,0,0,5,0,2,3,0
6.960000038,7.133928776,6.93071413,7.095356941,6.038989067,550345600,2/11/2010,4,9,4,10,4,10,9
7.07535696,7.20142889,6.982142925,7.156428814,6.090967655,655468800,2/12/2010,0,4,6,0,7,3,4
7.212142944,7.274642944,7.197143078,7.264286041,6.182768345,543737600,2/16/2010,4,11,0,11,4,6,6
7.292500019,7.296785831,7.17357111,7.233929157,6.156929016,436396800,2/17/2010,0,0,5,0,2,3,0
7.201070786,7.281785965,7.175714016,7.247499943,6.168479919,422825200,2/18/2010,6,6,6,6,4,8,8
7.209286213,7.257143021,7.182499886,7.202499866,6.130179882,415469600,2/19/2010,0,6,3,0,3,6,0
7.226428986,7.232142925,7.113928795,7.157856941,6.09218359,390563600,2/22/2010,4,4,6,4,6,4,4
