Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
20130110,13.42700005,13.43700027,13.11499977,13.2670002,57268000,5,8,5,0,5,8,5
20130111,13.25500011,13.42150021,13.20549965,13.39700031,48266000,10,10,0,8,6,8,6
20130114,13.39999962,13.7130003,13.37699986,13.63650036,85500000,0,0,9,0,9,0,0
20130115,13.5340004,13.63650036,13.46500015,13.59500027,46538000,0,9,0,9,0,0,0
20130116,13.52649975,13.56200027,13.39150047,13.44649982,41312000,6,3,6,3,0,10,0
20130117,13.57499981,13.59850025,13.46049976,13.52400017,37692000,8,8,8,4,12,4,12
20130118,13.54150009,13.72500038,13.47999954,13.60599995,58840000,9,9,8,6,8,6,6
20130122,13.58100033,13.60499954,13.46150017,13.50949955,42754000,0,6,0,6,0,0,0
20130123,13.5284996,13.55449963,13.33250046,13.40550041,50178000,6,3,6,3,0,10,0
20130124,13.46850014,13.83250046,13.46850014,13.67300034,68340000,9,10,10,4,14,7,12
20130125,13.75,14.23600006,13.72000027,14.19950008,99362000,16,16,8,12,16,12,0
20130128,14.18900013,14.22399998,13.72000027,13.80200005,86428000,8,6,3,8,3,0,0
20130129,13.76749992,13.77299976,12.91749954,13.01749992,203452000,6,3,6,3,0,10,0
20130130,14.14999962,14.21000004,13.35550022,13.63799953,261508000,8,8,8,4,12,4,12
20130131,13.55200005,13.79699993,13.18500042,13.27499962,135442000,5,5,3,4,3,6,0
20130201,13.44649982,13.44649982,13.14000034,13.25,122300000,0,6,4,4,0,5,5
20130204,13.13899994,13.23400021,12.95349979,12.9989996,74472000,4,6,4,0,4,8,0
20130205,13.10000038,13.40149975,13.07299995,13.34449959,80258000,12,9,4,8,9,8,4
20130206,13.25800037,13.34449959,13.05550003,13.11100006,55408000,0,3,2,0,5,0,0
20130207,13.20499992,13.20499992,12.75549984,13.01150036,79514000,6,6,6,6,0,8,8
20130208,13.06999969,13.26249981,13.02750015,13.09749985,77584000,7,12,7,0,8,8,8
20130211,13.15999985,13.16250038,12.82999992,12.86050034,68074000,7,7,0,4,4,6,0
20130212,12.95950031,13.00800037,12.85000038,12.93500042,58874000,0,4,6,6,0,8,8
20130213,13.07649994,13.49800014,13.01500034,13.47350025,105860000,8,15,15,0,20,18,0
20130214,13.36849976,13.53250027,13.27000046,13.46199989,69260000,8,8,0,8,8,0,0
20130215,13.38150024,13.4460001,13.15550041,13.25450039,79598000,5,3,4,4,0,8,0
20130219,13.2954998,13.50549984,13.22500038,13.48750019,57084000,8,8,8,4,12,4,12
20130220,13.51000023,13.71500015,13.31849957,13.32050037,70578000,5,5,3,4,3,6,0
20130221,13.25599957,13.47399998,13.16250038,13.29699993,72748000,0,6,4,4,0,5,5
20130222,13.33100033,13.35550022,13.08049965,13.27099991,62496000,5,8,5,0,5,8,5
20130225,13.34700012,13.43449974,12.98250008,12.99349976,60648000,5,5,0,4,4,6,0
20130226,13.04450035,13.10200024,12.78649998,12.96800041,66972000,0,6,3,4,3,5,5
20130227,12.97000027,13.29150009,12.84300041,13.16250038,58162000,12,7,14,4,10,10,9
20130228,13.09049988,13.35000038,13.03149986,13.21350002,53344000,7,14,4,10,10,9,12
20130301,13.16349983,13.32999992,13.05200005,13.2869997,59140000,16,0,16,16,8,12,12
20130304,13.26799965,13.66499996,13.20699978,13.65550041,69060000,0,18,20,0,15,15,8
20130305,13.69999981,13.83399963,13.49950027,13.77950001,73724000,8,8,0,6,6,4,0
20130306,13.78800011,13.82450008,13.59150028,13.68949986,41014000,0,3,2,2,0,7,0
20130307,13.70499992,13.73999977,13.59249973,13.69400024,38780000,4,4,4,6,12,3,3
20130308,13.75,13.77200031,13.57499981,13.70950031,37596000,3,3,12,6,4,4,4
20130311,13.67150021,13.69950008,13.52000046,13.56200027,38098000,0,7,0,2,2,3,0
20130312,13.55000019,13.86999989,13.51799965,13.70650005,64924000,0,4,6,6,0,8,8
20130313,13.76200008,13.82499981,13.63199997,13.75500011,37684000,4,12,14,0,12,15,9
20130314,13.48349953,13.5,13.17650032,13.2869997,104534000,6,6,0,6,6,6,0
20130315,13.2489996,13.36299992,13.00249958,13.0909996,97318000,0,6,3,4,3,5,5
20130318,12.96500015,13.07450008,12.85599995,12.89449978,54404000,8,4,8,4,5,8,5
20130319,12.92000008,12.97500038,12.63099957,12.82050037,74770000,0,10,0,6,3,6,3
20130320,12.90250015,12.98799992,12.72749996,12.86400032,54778000,0,0,9,0,9,0,0
20130321,12.80550003,12.85000038,12.63399982,12.66950035,56128000,0,9,0,9,0,0,0
20130322,12.72749996,12.88850021,12.60350037,12.88749981,62492000,12,4,12,15,0,13,12
20130325,12.9289999,12.9715004,12.72500038,12.80099964,50278000,3,3,10,0,8,8,0
20130326,12.85249996,13.07400036,12.81400013,13.01550007,48420000,6,8,4,8,4,8,6
20130327,12.9375,13.29650021,12.89500046,13.26500034,57498000,10,8,10,4,12,6,4
20130328,13.29100037,13.36900043,13.20300007,13.32450008,49474000,6,9,0,8,3,4,0
20130401,13.34899998,13.36999989,13.05049992,13.08049965,50496000,0,3,2,2,0,7,0
20130402,13.11999989,13.29450035,13.02750015,13.16600037,52622000,4,4,4,6,12,3,3
20130403,13.10599995,13.18350029,12.88749981,12.95149994,48276000,2,2,6,4,2,4,0
20130404,12.96150017,13.02050018,12.80599976,12.95400047,39288000,0,4,4,3,3,3,3
20130405,12.78600025,12.80900002,12.68350029,12.77400017,51148000,0,6,3,0,3,6,0
20130408,12.79599953,12.98400021,12.78149986,12.94750023,45912000,10,7,4,7,9,7,6
20130409,12.94250011,13.13049984,12.85000038,13.05700016,43132000,0,4,8,0,9,6,3
20130410,13.08899975,13.29899979,12.9659996,13.23849964,46450000,4,15,0,15,12,4,4
20130411,13.23700047,13.54850006,13.23700047,13.49250031,61810000,18,0,22,12,8,8,0
