Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7,MA7,MA21,MACD,20SD,upper_band,lower_band,EMA,logmomentum,absolute of 3 comp,angle of 3 comp,absolute of 6 comp,angle of 6 comp,absolute of 9 comp,angle of 9 comp
2013-02-08,19.43041992,19.5933094,19.41622353,19.56093025,121256803,0,0,8,6,3,8,3,19.16224643142857,18.56932603761905,-0.0930290893508321,0.6117915499176798,19.79290913745441,17.34574293778369,19.45049932525011,2.921058847330476,72.7201915998439,-0.10352947539550425,56.64709798055906,-0.016473589446988464,57.6729930360033,-0.0249670812579899
2013-02-11,19.38733292,19.50190163,19.2715168,19.48745537,87037018,0,9,6,3,8,4,0,19.257354191428572,18.617882138571428,-0.10743438094772273,0.6435368127521928,19.904955764075815,17.33080851306704,19.47513668841749,2.917092413970448,72.45233292172881,-0.10352763851420566,56.21310555242409,-0.016525456661328458,57.092095137504835,-0.025254198968346346
2013-02-12,19.47076988,19.62394524,19.41149139,19.44461632,74638720,0,6,4,4,0,5,5,19.275500434285714,18.666165397619046,-0.1332277649735616,0.6512328918810723,19.96863118138119,17.3636996138569,19.45478977613895,2.9147725295311235,72.18449185725342,-0.10351979608731995,55.7809542702728,-0.016573772231697984,56.51271045728105,-0.025533397564511572
2013-02-13,19.43041992,19.56043243,19.42643547,19.49841499,48107646,7,12,7,0,8,8,8,19.360325404285714,18.736864725714288,-0.14141718265395653,0.6561278364617953,20.04912039863788,17.424609052790696,19.48387325204642,2.9176850521976463,71.91667546462209,-0.10350589343024737,55.35066913801191,-0.016618459017636016,55.93491971460022,-0.025804360319661424
2013-02-14,19.42045784,19.64486694,19.37163925,19.62195206,69672173,12,12,0,6,6,6,6,19.438888005714286,18.81145422809524,-0.13330754895383023,0.6416479660559403,20.09475016020712,17.52815829598336,19.57592579068225,2.9243411030886284,71.64889080230297,-0.10348587541125842,54.92227492246529,-0.016659439065462803,55.35880349856804,-0.026066764057737526
2013-02-15,19.61149025,19.75744438,19.60327148,19.74822807,109601278,0,0,0,0,0,0,0,19.519727707142856,18.903608776190474,-0.14180559347471444,0.6109581963325175,20.12552516885551,17.681692383525437,19.690793976894128,2.931099245017403,71.38114492884357,-0.10345968644841601,54.495796150799016,-0.016696633617034967,54.78444224418122,-0.026320279050895252
2013-02-19,19.82543945,20.09966278,19.80775642,20.09592628,117711564,0,0,0,0,0,0,0,19.636789048571426,19.01691028,-0.148841971185675,0.5640962801438874,20.145102840287777,17.888717719712226,19.960882178964745,2.949475028534733,71.1134449026862,-0.10342727050651578,54.071257107979285,-0.01672996311960275,54.21191620840268,-0.026564568919860688
2013-02-20,20.05731964,20.14872742,19.72083092,19.73751831,110982436,0,0,0,0,0,0,0,19.662015914285714,19.121221632857143,-0.2153607797102275,0.4416333629887387,20.00448835883462,18.237954906879665,19.81197293298824,2.9305278406130286,70.84579778198409,-0.10338857109404838,53.64868183426334,-0.016759347236826184,53.64130544626787,-0.026799290537709373
2013-02-21,19.87550163,20.06105614,19.70663452,19.81398201,140781714,6,6,6,6,0,12,12,19.708662577142857,19.231119246190477,-0.23438316080641997,0.4262102379227051,20.083539722035887,18.378698770345068,19.81331231766275,2.934600317346475,70.57821062441766,-0.10334353126018389,53.22809412272398,-0.01678470486099898,53.07268978703035,-0.027024093937611588
2013-02-22,19.90688324,19.9564476,19.7708931,19.91809273,82463941,12,12,12,0,12,12,12,19.776302064285716,19.30015818238095,-0.24360630846845766,0.4336838868614142,20.16752595610378,18.43279040865812,19.883165925887585,2.9401187514599045,70.31069048701112,-0.10329209359178058,52.80951751680732,-0.016805954126537563,52.50614881035523,-0.02723862222513908
2013-02-25,19.98259926,20.13478088,19.68845367,19.69542694,92501423,7,7,0,4,4,6,0,19.80444662857143,19.343519482857143,-0.27775997408992126,0.420518833859474,20.18455715057609,18.502481815138196,19.758006601962528,2.9282789452905393,70.04324442594944,-0.10323420021042037,52.39297530792493,-0.016823012424790704,51.94176182256914,-0.027442511495770327
