Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
20130110,18.5014019,18.55545044,18.2690239,18.46777725,73703226,10,10,0,6,8,6,8
20130111,18.48073006,18.49143982,18.33876228,18.43066788,51600690,0,0,0,6,0,6,0
20130114,18.35619545,18.48571014,17.99131393,18.0137291,114985384,3,3,6,3,6,9,0
20130115,17.91609573,18.30638313,17.73602104,18.05557251,157696879,4,2,4,6,8,2,2
20130116,17.99255943,18.0408783,17.7751236,17.81298256,81239368,0,2,3,2,1,2,0
20130117,17.87574768,17.92381668,17.7091217,17.7165947,88791570,0,6,3,4,3,4,4
20130118,17.69268227,17.75270844,17.46777534,17.5469799,129555794,0,4,5,3,6,3,5
20130122,17.5507164,17.56765175,17.32306862,17.50613213,152264594,4,10,8,10,4,12,6
20130123,18.33104134,18.65507507,18.32605934,18.46827507,237249950,11,8,12,4,14,9,0
20130124,18.46180153,18.85009575,18.44361877,18.78483963,135815168,8,15,0,20,18,0,15
20130125,18.69916153,18.89119148,18.68620872,18.77139091,89369729,8,0,10,10,0,12,0
20130128,18.72381973,18.81945992,18.62742996,18.69816589,65327951,3,4,4,3,8,6,0
20130129,18.59903526,18.85308456,18.59380531,18.77163887,70145942,2,2,8,6,4,2,4
20130130,18.77313423,18.95271111,18.75246048,18.77537537,69579828,0,8,3,3,5,3,4
20130131,18.69268417,18.86977005,18.68620872,18.82170105,65613015,0,4,0,10,0,3,3
20130201,18.88421631,19.34250069,18.88172722,19.31759262,150405652,8,0,24,0,8,8,0
20130204,19.12058067,19.18982124,18.88596153,18.9046402,122075862,0,12,0,6,6,0,0
20130205,18.95719337,19.20576286,18.91584969,19.07201385,75108474,6,6,6,6,0,8,8
20130206,18.9058857,19.25183868,18.8916893,19.18235016,83435569,8,8,8,0,7,12,7
20130207,19.17064476,19.39754295,19.06603622,19.27649689,114033831,6,6,0,5,6,6,5
20130208,19.43041992,19.5933094,19.41622353,19.56093025,121256803,0,0,8,6,3,8,3
20130211,19.38733292,19.50190163,19.2715168,19.48745537,87037018,0,9,6,3,8,4,0
20130212,19.47076988,19.62394524,19.41149139,19.44461632,74638720,0,6,4,4,0,5,5
20130213,19.43041992,19.56043243,19.42643547,19.49841499,48107646,7,12,7,0,8,8,8
20130214,19.42045784,19.64486694,19.37163925,19.62195206,69672173,12,12,0,6,6,6,6
20130215,19.61149025,19.75744438,19.60327148,19.74822807,109601278,0,0,0,0,0,0,0
20130219,19.82543945,20.09966278,19.80775642,20.09592628,117711564,0,0,0,0,0,0,0
20130220,20.05731964,20.14872742,19.72083092,19.73751831,110982436,0,0,0,0,0,0,0
20130221,19.87550163,20.06105614,19.70663452,19.81398201,140781714,6,6,6,6,0,12,12
20130222,19.90688324,19.9564476,19.7708931,19.91809273,82463941,12,12,12,0,12,12,12
20130225,19.98259926,20.13478088,19.68845367,19.69542694,92501423,7,7,0,4,4,6,0
20130226,19.80078125,19.82444382,19.53677177,19.67948532,88430220,0,6,4,4,0,7,7
20130227,19.79579926,20.04362106,19.70389557,19.91983604,81347773,12,14,14,0,14,14,12
20130228,19.95271111,20.09941292,19.9509697,19.9552021,90971711,8,8,0,6,6,6,6
20130301,19.87051964,20.10314751,19.8294239,20.07948685,87342157,0,0,8,8,0,8,8
20130304,20.05731964,20.49418259,20.04984856,20.4608078,111440145,0,18,20,0,15,15,8
20130305,20.64586449,20.92531776,20.64511681,20.88671112,162370331,18,20,0,15,15,8,0
20130306,20.94723511,21.02120781,20.64287567,20.70688629,115350748,9,0,3,3,3,0,0
20130307,20.77363586,20.83739662,20.66205406,20.73727226,82415761,6,6,6,6,0,12,12
20130308,20.78459358,20.79505539,20.54922676,20.71037292,116912581,8,8,8,0,7,12,7
20130311,20.71460724,20.91410828,20.7098732,20.79256439,64027093,8,8,0,6,6,6,6
20130312,20.6901989,20.71958733,20.51485443,20.61298752,80633104,0,0,5,0,2,3,0
20130313,20.62021065,20.68969917,20.48098183,20.55570221,65898080,6,6,6,6,4,8,8
20130314,20.59754562,20.59754562,20.35844231,20.46180344,66295564,0,8,4,0,4,6,4
20130315,20.38608742,20.43091965,20.25757027,20.28148079,124452737,5,5,0,4,4,6,0
20130318,20.04984856,20.24312401,19.96192741,20.11933708,73807616,0,6,3,4,3,5,5
20130319,20.20526695,20.40476799,20.0859623,20.20725822,84242583,12,8,12,4,12,12,4
20130320,20.34449387,20.36142921,20.21024704,20.29169273,58771467,11,15,4,12,14,4,8
20130321,20.20651054,20.346735,20.17064476,20.20576477,59325536,10,0,6,12,0,8,0
20130322,20.29243851,20.30489159,20.16541481,20.1821022,59751126,6,6,8,6,8,9,9
20130325,20.23440552,20.40427017,20.0951786,20.16541481,68736680,12,4,12,4,8,8,8
20130326,20.26155472,20.2740078,20.11933708,20.23465538,47854701,0,12,0,3,3,3,3
20130327,20.09169006,20.09966278,19.95844078,19.99156761,86852328,0,0,0,0,0,0,0
20130328,20.02469254,20.05906487,19.75844193,19.78060722,91855009,6,6,6,6,0,12,12
20130401,19.80103111,19.98135567,19.75719452,19.95495415,72562968,12,12,12,0,12,12,12
20130402,20.03839111,20.29468155,20.0249424,20.25009727,81966082,12,12,0,6,6,6,6
20130403,20.26055717,20.27898979,19.94200134,20.07973671,69800653,0,0,0,0,0,0,0
20130404,20.03116798,20.06852722,19.7086277,19.80252457,98270968,3,3,3,3,0,12,0
20130405,19.57811546,19.60128021,19.33751869,19.50314713,137870844,2,2,2,3,6,3,0
20130408,19.3960495,19.41597366,19.13826561,19.29891205,113708616,2,2,8,6,4,2,4
20130409,19.31510162,19.5205822,19.25557518,19.36865234,86615444,0,9,6,3,6,3,3
20130410,19.49991035,19.73477936,19.32755661,19.68073273,79440651,15,12,4,15,4,4,0
20130411,19.74798012,19.75345993,19.52830315,19.68596268,81452163,12,0,18,8,8,0,22
20130412,19.72581291,19.72855377,19.50015831,19.67749405,65713390,0,9,9,9,4,18,13
20130415,19.57537651,19.85059547,19.35296059,19.47525215,98491793,2,2,2,3,6,3,0
20130416,19.59131622,19.82568741,19.52481651,19.76018333,69941178,5,5,9,6,6,5,6
20130417,19.59530258,19.69717026,19.37985992,19.49094391,81785407,0,6,2,4,4,0,0
20130418,19.56043243,19.57164192,18.96043205,19.07624817,133398142,4,4,4,4,0,6,0
20130419,19.15719414,20.01099396,19.08496475,19.92207718,232998073,8,9,8,4,12,9,4
20130422,19.94025993,20.02394485,19.30264854,19.92805481,115768308,6,6,3,6,5,4,0
20130423,19.95022202,20.31136894,19.9342804,20.12207794,92035684,0,6,6,6,0,6,6
20130424,20.12730789,20.37363434,20.12456894,20.26030922,73438237,6,12,9,0,8,9,8
20130425,20.33004761,20.33552742,20.11535263,20.15196419,79986690,5,5,0,4,4,6,0
20130426,20.11460686,20.11809158,19.84013367,19.96068192,99880980,0,3,2,2,2,5,0
20130429,20.00626183,20.49069595,20.00003433,20.40003586,92376959,8,3,8,6,8,3,8
20130430,20.3985405,20.6137352,20.36566353,20.5372715,92613843,0,8,3,3,5,3,4
20130501,20.50464439,20.54100609,20.33278847,20.43415833,58418148,0,3,0,6,0,3,0
20130502,20.42593956,20.78583908,20.3997879,20.66280174,81034603,6,6,6,6,4,8,8
20130503,20.84586525,21.0909462,20.82195473,21.06404686,100880714,12,8,12,4,12,12,4
20130506,21.1273098,21.4657917,21.1273098,21.45831871,85973045,0,15,0,9,12,0,6
20130507,21.49468231,21.51610184,21.18733406,21.35072136,78653713,10,0,6,12,0,8,0
20130508,21.34499359,21.7654171,21.24312592,21.75919151,99102072,6,6,8,6,8,9,9
20130509,21.68970108,21.90937805,21.62469482,21.7056427,88353936,6,3,6,3,4,8,0
20130510,21.80103493,21.93129539,21.72257805,21.92357445,76192522,0,4,4,3,3,3,3
20130513,21.89019966,21.9793663,21.75296593,21.85632706,58157173,0,6,3,0,3,6,0
20130514,21.85557938,22.13428497,21.84661484,22.0946846,63408784,6,6,4,5,6,5,6
20130515,22.30389977,22.82394981,22.26703835,22.8117466,160033605,0,8,10,0,12,6,0
20130516,22.88920593,22.91361427,22.46604156,22.51236725,128865215,6,10,0,10,6,0,0
20130517,22.66554451,22.75197029,22.42893028,22.6446228,112098604,6,6,6,6,0,8,8
20130520,22.54051208,22.92905617,22.54051208,22.62843323,91248746,8,8,8,0,7,12,7
20130521,22.61573029,22.70639038,22.35645294,22.58957863,79617311,6,6,0,5,6,6,5
20130522,22.47974014,22.64785957,22.08920479,22.15246773,102807910,0,0,4,4,2,6,0
20130523,21.8431263,22.16591644,21.76840782,21.98733521,91345105,6,5,6,6,9,5,5
20130524,21.79978943,21.88845634,21.69393539,21.75147057,92216359,0,3,4,3,2,2,2
20130528,22.00502014,22.22021294,21.92780876,21.94947815,90638467,0,10,0,6,3,6,3
20130529,21.81099701,21.8677845,21.52656364,21.626688,80837869,0,0,4,0,4,0,0
20130530,21.6667881,21.89044952,21.57936478,21.68770981,85145956,4,10,9,10,0,11,14
20130531,21.62195587,21.8431263,21.6070118,21.69916534,79071272,5,8,5,0,5,8,5
20130603,21.74349976,21.76765823,21.29567909,21.60975075,99399181,5,5,0,4,4,6,0
20130604,21.61523056,21.68347549,21.27201653,21.39729881,75024159,0,3,2,2,2,5,0
20130605,21.48222923,21.6550808,21.34823227,21.41224289,84587872,4,2,4,6,8,2,2
20130606,21.5268116,21.5773735,21.1014061,21.53528023,103550684,0,6,8,3,4,4,3
20130607,21.67924118,21.91784668,21.55221748,21.91112137,107385002,14,18,4,12,12,4,0
20130610,21.97014999,22.19182014,21.92008781,22.17239189,93862506,24,0,12,12,16,0,16
