Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
20130110,30.6,31.450001,30.280001,31.299999,95316400,4,9,12,4,8,9,8
20130111,31.280001,31.959999,31.1,31.719999,89598000,0,5,0,3,2,4,0
20130114,32.080002,32.209999,30.620001,30.950001,98892800,0,3,2,2,2,5,0
20130115,30.639999,31.709999,29.879999,30.1,173242600,2,2,2,4,4,2,0
20130116,30.209999,30.35,29.530001,29.85,75332700,0,2,4,4,2,2,2
20130117,30.08,30.42,30.030001,30.139999,40256700,0,9,6,3,6,3,3
20130118,30.309999,30.440001,29.27,29.66,49631500,0,6,0,6,0,0,0
20130122,29.75,30.889999,29.74,30.73,55243300,12,4,12,4,0,14,0
20130123,31.1,31.5,30.799999,30.82,48899800,4,6,6,4,11,0,11
20130124,31.27,31.49,30.809999,31.08,43845100,6,8,9,8,0,9,12
20130125,31.41,31.93,31.129999,31.540001,54363600,7,12,7,0,8,8,8
20130128,31.879999,32.509998,31.809999,32.470001,59682500,18,13,0,9,9,9,4
20130129,32,32.07,30.709999,30.790001,72976500,0,0,0,0,0,0,0
20130130,30.98,31.49,30.879999,31.24,87682100,6,6,6,6,0,12,12
20130131,29.15,31.469999,28.74,30.98,190744900,8,8,8,0,7,12,7
20130201,31.01,31.02,29.629999,29.73,85856700,5,5,0,4,4,6,0
20130204,29.059999,29.200001,28.01,28.110001,92362200,0,3,2,2,2,5,0
20130205,28.26,28.959999,28.040001,28.639999,47948200,8,3,8,6,8,3,8
20130206,28.74,29.290001,28.66,29.049999,38375900,0,8,3,3,5,3,4
20130207,29.110001,29.15,28.27,28.65,34540100,0,4,3,7,3,3,6
20130208,28.889999,29.17,28.51,28.549999,37708800,4,12,8,12,4,12,12
20130211,28.610001,28.68,28.040001,28.26,37361800,6,3,6,3,4,8,0
20130212,27.67,28.16,27.1,27.370001,93498700,0,3,2,2,2,3,0
20130213,27.360001,28.32,27.309999,27.91,50164000,0,9,5,3,8,6,3
20130214,28.02,28.629999,28.01,28.5,35615800,15,18,8,15,18,8,0
20130215,28.52,28.75,28.09,28.32,33109300,8,6,3,8,3,0,0
20130219,28.23,29.08,28.120001,28.93,49396400,9,4,14,12,0,12,15
20130220,28.92,29.049999,28.33,28.459999,42098200,3,8,8,0,7,12,0
20130221,28.280001,28.549999,27.15,27.280001,49642300,3,3,3,3,4,4,0
20130222,27.620001,27.629999,26.82,27.129999,36350200,0,4,2,4,6,2,2
20130225,27.16,27.639999,27.15,27.27,34652000,6,6,12,6,6,6,6
20130226,27.360001,27.459999,26.700001,27.389999,31611700,0,15,0,9,12,0,6
20130227,27.34,27.34,26.629999,26.870001,44319700,10,0,6,12,0,8,0
20130228,26.84,27.299999,26.34,27.25,83027800,4,9,12,9,8,10,16
20130301,27.049999,28.120001,26.809999,27.780001,54064800,12,8,12,4,12,12,4
20130304,27.76,28.059999,27.440001,27.719999,32400700,0,8,0,4,4,0,0
20130305,27.879999,28.18,27.209999,27.52,40622200,5,3,4,4,0,8,0
20130306,28.1,28.129999,27.35,27.450001,33532600,4,4,4,6,12,3,3
20130307,27.57,28.68,27.469999,28.58,74540200,6,6,12,6,6,6,6
20130308,28.43,28.469999,27.73,27.959999,44198900,0,8,0,4,4,0,0
20130311,28.01,28.639999,27.83,28.139999,35642100,6,6,6,6,0,8,8
20130312,28.1,28.32,27.6,27.83,27569600,6,6,6,0,6,12,0
20130313,27.620001,27.65,26.92,27.08,39619500,3,3,3,3,4,4,0
20130314,27.1,27.43,26.83,27.040001,27646400,0,4,2,4,6,2,2
20130315,27.030001,27.059999,26.559999,26.65,31597400,3,3,8,6,3,4,3
20130318,26.370001,26.790001,25.780001,26.49,26653700,0,8,0,5,3,4,4
20130319,26.530001,26.9,26.209999,26.549999,25254200,11,0,11,4,6,6,4
20130320,26.68,26.690001,25.780001,25.860001,44006500,0,10,0,3,3,4,0
20130321,25.66,26.110001,25.559999,25.74,24336100,0,6,4,4,0,7,7
20130322,25.799999,26.01,25.629999,25.73,18456300,12,12,12,0,12,12,12
20130325,25.75,25.799999,25.08,25.129999,39199000,7,7,0,4,4,6,0
20130326,25.08,25.48,25.030001,25.209999,26957200,0,4,6,6,0,8,8
20130327,25,26.280001,24.719999,26.09,52297400,8,15,15,0,20,18,0
20130328,26.09,26.17,25.52,25.58,28585700,8,8,0,8,8,0,0
20130401,25.629999,25.889999,25.280001,25.530001,22249300,6,6,6,6,0,8,8
20130402,25.77,26.120001,25.299999,25.42,35153300,8,8,8,0,7,12,7
20130403,25.83,26.389999,25.700001,26.25,48195200,10,10,0,8,6,8,6
20130404,26.620001,27.23,26.110001,27.07,82016800,0,0,6,0,12,0,6
20130405,26.860001,27.799999,26.610001,27.389999,64566600,0,9,4,16,4,8,13
20130408,27.190001,27.200001,26.629999,26.85,27256000,4,3,5,3,3,8,0
20130409,26.58,26.889999,26.42,26.59,21311100,4,2,4,6,8,2,2
20130410,27.01,27.84,26.9,27.57,45949400,0,3,6,3,2,2,2
