Open,High,Low,Close,Adj Close,Volume,Date,CI1,CI2,CI3,CI4,CI5,CI6,CI7,MA7,MA21,MACD,20SD,upper_band,lower_band,EMA,logmomentum,absolute of 3 comp,angle of 3 comp,absolute of 6 comp,angle of 6 comp,absolute of 9 comp,angle of 9 comp
6.996070862,7.021429062,6.937857151,6.968571186,5.931079388,370361600,2010-02-10,,,5.0,,2.0,3.0,,5.940588815,6.133436679904762,-1.098488149253618,0.2205523406276866,6.574541361160136,5.692331998649389,5.935902935696318,1.5955579068893104,29.00540842129484,-0.136315385179919,27.982445380509827,-0.0588074153740858,26.58313977456173,-0.029824297915216
6.960000038,7.133928776,6.93071413,7.095356941,6.038989067,550345600,2010-02-11,4.0,9.0,4.0,10.0,4.0,10.0,9.0,5.952791282285714,6.120337032190476,-1.096852265135559,0.2111612230530791,6.542659478296635,5.698014586084318,6.004627023234296,1.6172054800195843,28.908389793178173,-0.1366761677551438,27.769397003893697,-0.0589469482894849,26.23960521420923,-0.0298470337955831
7.07535696,7.20142889,6.982142925,7.156428814,6.090967655,655468800,2010-02-12,,4.0,6.0,,7.0,3.0,4.0,5.957784993428571,6.105471429428572,-1.1012875675092202,0.2021086746871697,6.509688778802911,5.701254080054232,6.062187444412043,1.6274679215313264,28.811302665209453,-0.1370301174970907,27.556473292268624,-0.0590718096321998,25.896892804374662,-0.0298504690835364
7.212142944,7.274642944,7.197143078,7.264286041,6.182768345,543737600,2010-02-16,4.0,11.0,,11.0,4.0,6.0,6.0,6.007071767714286,6.096743175047619,-1.1080661372147258,0.1994740367628166,6.4956912485732525,5.697795101521986,6.1425747114709655,1.6453393430514665,28.714150394002072,-0.1373771579812268,27.34369689849348,-0.0591816984563398,25.55508072781423,-0.0298339843358525
7.292500019,7.296785831,7.17357111,7.233929157,6.156929016,436396800,2010-02-17,,,5.0,,2.0,3.0,,6.037859712428571,6.091850689571428,-1.1188632202922628,0.17056769294305,6.432986075457529,5.750715303685328,6.152144247823666,1.640341250382272,28.616936342062782,-0.1377172121438195,27.131090451103145,-0.0592763092207549,25.21424678725838,-0.0297969433546737
7.201070786,7.281785965,7.175714016,7.247499943,6.168479919,422825200,2010-02-18,6.0,6.0,6.0,6.0,4.0,8.0,8.0,6.076116698142856,6.07432170147619,-1.1242770494083274,0.1495166414056638,6.373354984287518,5.775288418664863,6.16303469527456,1.6425786257523365,28.51966387770885,-0.138050202277774,26.918676550817583,-0.0593553317349106,24.874468377390237,-0.0297386927755981
7.209286213,7.257143021,7.182499886,7.202499866,6.130179882,415469600,2010-02-19,,6.0,3.0,,3.0,6.0,,6.099913324571427,6.0597600029047625,-1.127855255450239,0.1369291017579459,6.333618206420654,5.785901799388871,6.141131486424852,1.6351407232852744,28.422336374985537,-0.1383760500285344,26.70647776705985,-0.0594184511063093,24.53582245702956,-0.0296585616590924
7.226428986,7.232142925,7.113928795,7.157856941,6.09218359,390563600,2010-02-22,4.0,4.0,6.0,4.0,6.0,4.0,4.0,6.122928210571429,6.048686822285714,-1.1299895632928756,0.1370246070911632,6.322736036468041,5.774637608103387,6.108499555474949,1.6277067346406526,28.324957213583872,-0.1386946763900465,26.494516634482977,-0.0594653476896176,24.1983855215328,-0.0295558610870053
7.142857075,7.190357208,6.989643097,7.037857056,5.990049362,575094800,2010-02-23,,6.0,3.0,,3.0,6.0,,6.1159368241428576,6.047688052809524,-1.1338221217191524,0.1345183538573019,6.316724760524128,5.77865134509492,6.029532759824981,1.6074458018988689,28.22752977875873,-0.1390060017007858,26.282815649506627,-0.0594956970376994,23.86223357542005,-0.0294298837662294
7.079642773,7.19428587,7.065713882,7.166429043,6.099478722,460566400,2010-02-24,8.0,8.0,4.0,6.0,6.0,6.0,6.0,6.117152690857144,6.044199603,-1.1291826148614774,0.1252640149929215,6.294727632985843,5.793671573014157,6.076163401274993,1.6291383231337928,28.13005746124732,-0.1393099456398608,26.071397266863595,-0.0595091698547586,23.527442105239235,-0.0292799036417709
