Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
20130110,13.79571438,14.27428627,13.67142868,14,26117700,0,12,6,0,6,6,6
20130111,14.02571392,14.56000042,14,14.47000027,29851500,12,12,0,6,6,6,6
20130114,14.4271431,14.92857075,14.36571407,14.77857113,23473100,0,0,0,6,6,0,12
20130115,14.71714306,14.90857124,14.43571377,14.52714252,17068100,0,0,9,9,0,18,0
20130116,14.54571438,14.61428642,13.8228569,13.92571354,28014700,3,4,4,3,8,6,0
20130117,14.01285744,14.08571434,13.67857075,13.95714283,16221100,1,1,4,4,4,1,1
20130118,14.34000015,14.56285667,14.09714317,14.16714287,35999600,0,6,8,3,4,4,3
20130122,14.23571396,14.23571396,13.79857063,13.97285748,22773100,0,8,0,4,4,0,0
20130123,13.8757143,14.83285713,13.85999966,14.7514286,74235000,14,4,9,9,0,12,0
20130124,20.56999969,21.30999947,19.94571495,20.97999954,118805400,8,8,8,0,24,0,0
20130125,20.80999947,24.66857147,20.80142975,24.22285652,191445800,8,8,0,22,12,0,18
20130128,24.6442852,25.3214283,22.96999931,23.15857124,109104800,6,0,12,9,0,15,0
20130129,22.59000015,24.26857185,22.37571335,24.15999985,59542000,6,6,6,6,12,6,6
20130130,24.7842865,25.0714283,23.23714256,23.95714378,48062700,2,2,6,4,2,4,0
20130131,23.87142944,24.1428566,22.90285683,23.6057148,35601300,0,3,2,2,2,3,0
20130201,24.2857132,24.7142868,23.41142845,23.54285622,50358000,0,4,2,4,6,2,2
20130204,23.25428581,25.01857185,23.25428581,24.96285629,50969100,14,7,12,9,10,10,4
20130205,24.62571335,25.41285706,24.4285717,24.91285706,57056300,0,8,0,4,4,0,0
20130206,25,26.47857094,24.93571472,26.34428596,67190900,12,4,9,14,0,11,8
20130207,26.5357132,26.98285675,25.50571442,25.99428558,53086600,3,3,10,0,8,8,0
20130208,25.96285629,26.28000069,25.7157135,25.85285759,25657800,6,5,6,5,4,6,6
20130211,25.56857109,26.00714302,24.97142982,25.41285706,29325100,0,6,3,0,3,6,0
20130212,25.80857086,26.22285652,25.10142899,25.42142868,34399400,6,6,4,5,6,5,6
20130213,25.84285736,26.62857056,25.66571426,26.61000061,40929000,0,8,10,0,12,6,0
20130214,26.75571442,27.12142944,26.38428688,26.77142906,31979500,8,15,8,18,15,0,18
20130215,26.93857193,27.1428566,26.6085701,27.0728569,26652500,12,12,14,14,0,14,14
20130219,27.2857132,28.16714287,27.16428566,28.06428528,34138300,12,14,14,0,14,14,12
20130220,28.22571373,28.23142815,26.6428566,26.73142815,34996500,7,7,0,4,4,6,0
20130221,26.5714283,27.45714378,26.0714283,26.73571396,36894200,0,6,4,4,0,7,7
20130222,26.24571419,26.25571442,25.48999977,25.69428635,38971100,6,6,6,0,6,12,0
20130225,25.8557148,26.72857094,25.06428528,25.61714363,52164700,6,6,4,5,6,5,6
20130226,25.79999924,26.45999908,25.08571434,26.29857063,33882100,0,8,8,0,10,3,3
20130227,26.22571373,26.5714283,25.79428673,26.33142853,22626800,8,11,0,14,9,4,12
20130228,26.25857162,27.44714355,26.2157135,26.86857033,34293700,10,0,12,12,4,10,12
20130301,26.72999954,27.19142914,26.60142899,27.05285645,21451500,0,12,12,4,10,12,10
20130304,26.95428658,27.15428543,25.23714256,25.88714218,47824000,3,3,3,3,4,4,0
20130305,26.38142967,26.47285652,25.44000053,25.9614296,32326700,0,4,2,4,6,2,2
20130306,26.02142906,26.42285728,25.65428543,26.13428688,17435600,3,3,12,6,4,4,4
20130307,25.7142868,26.0714283,25.16571426,25.93714333,28695800,0,8,0,4,4,3,5
20130308,26.06428528,26.54999924,25.81571388,26.38571358,23513000,0,0,6,10,0,10,6
20130311,26.2857132,26.36000061,25.5728569,25.77857018,21015400,0,6,12,0,10,8,0
20130312,25.62285614,26.30999947,25.6071434,26.01571465,21151900,6,5,6,5,4,6,6
20130313,26.77142906,27.88428688,26.6785717,27.47999954,53898600,9,12,9,4,10,10,4
20130314,27.52714348,27.52714348,26.72428513,26.90999985,28450800,8,8,0,6,6,4,0
20130315,27.0357132,27.1414299,26.36428642,26.40714264,20667500,0,6,4,4,0,7,7
20130318,25.91142845,26.68142891,25.79285622,26.51285744,18073300,12,12,12,0,12,12,12
20130319,26.5714283,26.6785717,25.6071434,25.90999985,19873700,7,7,0,4,4,6,0
20130320,26.08857155,26.26428604,25.77571487,26.14999962,11132100,0,4,3,8,0,9,6
20130321,26.05714226,26.77142906,25.99571419,25.9985714,18804100,4,4,16,0,13,8,9
20130322,26.15714264,26.26571465,25.6428566,25.89999962,14189000,4,11,0,11,4,6,6
20130325,26.06142807,26.40571404,25.68142891,25.82714272,15024800,0,0,9,0,3,3,3
20130326,26.2857132,27.52000046,26.22857094,27.22999954,46817400,0,24,0,8,8,8,0
20130327,27.09142876,28.15142822,26.90428543,27.1771431,40475400,9,0,3,3,3,0,0
20130328,27.25,27.55714226,26.94285774,27.04000092,19588100,3,3,3,3,0,12,0
20130401,27.27857018,27.3571434,25.92428589,26.06142807,22947400,2,2,2,3,6,3,0
20130402,26.27142906,26.45428658,25.15714264,25.24142838,32280500,1,1,4,4,4,1,1
20130403,25.29285622,25.47571373,23.4657135,24.2485714,75357800,0,2,3,2,1,2,0
20130404,23.90999985,24.30428505,23.40142822,23.81285667,34460300,0,8,3,4,3,5,3
20130405,23.36000061,24.3571434,23.21857071,23.52285767,32512900,0,8,6,0,14,0,0
20130408,23.69000053,23.75714302,22.7142868,23.29428673,31745000,12,12,0,24,0,0,0
20130409,23.3557148,24.48142815,23.14999962,24.19428635,34045900,16,0,16,0,0,0,0
20130410,24,24.20714378,23.55857086,23.72428513,29709400,0,0,0,0,0,0,0
20130411,24.11857033,24.77142906,24.11714363,24.7157135,33056100,4,4,12,12,0,14,18
20130412,25.2842865,25.37714386,24.45714378,24.74285698,37797900,3,8,8,0,7,12,0
20130415,25.07999992,26.04999924,24.97142982,25.2142868,46529000,4,4,6,4,6,4,4
20130416,24.99571419,25.38999939,24.61000061,25.12142944,29711500,0,6,3,0,3,6,0
20130417,24.90571404,25.34142876,24.0385704,24.19428635,27545700,3,3,3,3,4,4,0
20130418,24.4285717,24.55714226,23.11428642,23.40285683,23121000,0,4,2,4,6,2,2
20130419,23.6428566,24.16714287,23.29000092,23.33857155,20163500,3,3,12,6,4,4,4
20130422,23.67428589,25.2142868,23.67428589,24.90999985,84870100,0,18,0,6,6,6,0
20130423,30.79571342,31.34000015,29.93000031,30.9985714,114860900,24,0,8,8,8,0,0
20130424,31.08571434,32.04285812,30.45999908,30.95999908,46898600,0,0,0,0,0,0,0
20130425,30.99714279,31.25571442,30.46714211,30.5357132,29274000,3,3,3,3,0,12,0
20130426,31,31.01857185,30.36000061,30.79285622,21790300,4,4,4,6,12,3,3
20130429,30.94428635,31.10428619,30.28714371,30.7157135,20787200,3,3,8,6,3,4,3
20130430,30.65714264,31.3928566,30.6057148,30.86714363,25071200,0,12,0,7,6,6,3
20130501,30.84571457,31.05571365,30.23571396,30.41571426,18359600,6,0,7,3,4,4,0
20130502,30.46285629,30.77857018,30.02714348,30.6414299,18328800,6,6,6,6,4,8,8
20130503,30.82571411,31.17571449,30.38571358,30.49285698,15431500,0,6,3,0,3,6,0
20130506,29.94714355,30.35000038,29.14571381,30.09857178,31731000,3,3,3,3,4,4,0
20130507,29.82571411,30.07428551,29.37142944,29.4642868,17079300,0,2,1,2,3,2,0
20130508,29.27571487,30.05714226,29.21857071,29.80142975,17623200,2,2,8,6,4,2,4
